package_code,package_name,category,list_price_inr,checks
BUS_BASIC,Business Verification - Basic,BUSINESS,499,CORPORATE_IDENTITY;PAN_VERIFICATION;GST_REGISTRATION;REGISTERED_ADDRESS;DOCUMENT_AUTHENTICITY
BUS_STANDARD,Business Verification - Standard,BUSINESS,999,CORPORATE_IDENTITY;PAN_VERIFICATION;GST_REGISTRATION;REGISTERED_ADDRESS;DOCUMENT_AUTHENTICITY;BANK_ACCOUNT_OWNERSHIP;DIRECTORS;DIRECTOR_DISQUALIFICATION;UDYAM_REGISTRATION
BUS_CRITICAL,Business Verification - Critical,BUSINESS,2499,CORPORATE_IDENTITY;PAN_VERIFICATION;GST_REGISTRATION;GST_FILING_HISTORY;REGISTERED_ADDRESS;DOCUMENT_AUTHENTICITY;BANK_ACCOUNT_OWNERSHIP;DIRECTORS;DIRECTOR_DISQUALIFICATION;BENEFICIAL_OWNERSHIP;TURNOVER_VERIFICATION;SANCTIONS_SCREENING;PEP_SCREENING;LITIGATION_SCREENING;ISO_CERT_VERIFICATION
EDD_STANDARD,Enhanced Due Diligence - Standard,BUSINESS,999,SANCTIONS_SCREENING;PEP_SCREENING;LITIGATION_SCREENING;ADVERSE_MEDIA;DIRECTORSHIP_SEARCH
BGV_ESSENTIAL,BGV - Essential,PEOPLE,499,IDENTITY_VERIFICATION_PERSON;PAN_VERIFICATION;ADDRESS_VERIFICATION_DIGITAL;EPFO_EMPLOYMENT_HISTORY
BGV_STANDARD,BGV - Standard,PEOPLE,1499,IDENTITY_VERIFICATION_PERSON;PAN_VERIFICATION;ADDRESS_VERIFICATION_DIGITAL;EPFO_EMPLOYMENT_HISTORY;EDUCATION_VERIFICATION;EMPLOYMENT_VERIFICATION;COURT_RECORD_CHECK;DOCUMENT_AUTHENTICITY
BGV_COMPREHENSIVE,BGV - Comprehensive,PEOPLE,2999,IDENTITY_VERIFICATION_PERSON;PAN_VERIFICATION;ADDRESS_VERIFICATION_DIGITAL;EPFO_EMPLOYMENT_HISTORY;EDUCATION_VERIFICATION;EMPLOYMENT_VERIFICATION;EMPLOYMENT_VERIFICATION;COURT_RECORD_CHECK;PROFESSIONAL_LICENCE;REFERENCE_CHECK;DOCUMENT_AUTHENTICITY
BGV_EXECUTIVE,BGV - Executive,PEOPLE,7999,IDENTITY_VERIFICATION_PERSON;PAN_VERIFICATION;ADDRESS_VERIFICATION_DIGITAL;PHYSICAL_ADDRESS_VERIFICATION;EPFO_EMPLOYMENT_HISTORY;EDUCATION_VERIFICATION;EMPLOYMENT_VERIFICATION;EMPLOYMENT_VERIFICATION;COURT_RECORD_CHECK;PROFESSIONAL_LICENCE;REFERENCE_CHECK;DIRECTORSHIP_SEARCH;ADVERSE_MEDIA;SANCTIONS_SCREENING;PEP_SCREENING;DOCUMENT_AUTHENTICITY
WORKER_BASIC,Contractor Worker - Basic,WORKFORCE,199,IDENTITY_VERIFICATION_PERSON;EMPLOYMENT_LINK_CHECK;DOCUMENT_AUTHENTICITY
WORKER_STANDARD,Contractor Worker - Standard,WORKFORCE,499,IDENTITY_VERIFICATION_PERSON;EMPLOYMENT_LINK_CHECK;DOCUMENT_AUTHENTICITY;SAFETY_CERTIFICATION;PROFESSIONAL_LICENCE
WORKER_ENHANCED,Contractor Worker - Enhanced,WORKFORCE,999,IDENTITY_VERIFICATION_PERSON;EMPLOYMENT_LINK_CHECK;DOCUMENT_AUTHENTICITY;SAFETY_CERTIFICATION;PROFESSIONAL_LICENCE;COURT_RECORD_CHECK;ADDRESS_VERIFICATION_DIGITAL;MEDICAL_FITNESS
CONTRACTOR_COMPANY,Contractor Company Verification,WORKFORCE,1999,CORPORATE_IDENTITY;PAN_VERIFICATION;GST_REGISTRATION;REGISTERED_ADDRESS;DOCUMENT_AUTHENTICITY;BANK_ACCOUNT_OWNERSHIP;DIRECTORS;DIRECTOR_DISQUALIFICATION;PROFESSIONAL_LICENCE;SANCTIONS_SCREENING
