Payer Organization,Parent Organization,Payer Type,Plan Type,State(s),Payer ID,Payer ID Alias,Website,Developer Portal,Provider Portal,Claim Status Electronic,Claim Status Standard,Claim Status API,Claim Status Direct Payer API,Claim Status Clearinghouse API,Claim Status FHIR,Claim Status Portal,Claim Status Voice Fallback,Claim Status Real-Time,Claim Status Batch,Eligibility Electronic,Eligibility Standard,Eligibility API,Eligibility Direct Payer API,Eligibility Clearinghouse API,Eligibility FHIR,Eligibility Portal,Eligibility Real-Time,Eligibility Batch,Benefits Available,Benefits via 271,Benefits via API,Deductible,Deductible Remaining,Copay,Coinsurance,OOP Maximum,OOP Remaining,Service-Specific Benefits,Network Benefits,Allowed Amount Available,Accumulator Data,Patient Responsibility Data,Patient Responsibility Calculation Required,Estimation API,Estimation Confidence,Prior Auth Electronic,Prior Auth X12 278,Prior Auth FHIR,Prior Auth API,Prior Auth Requirements API,Prior Auth Submission,Prior Auth Status,Prior Auth Approval,Prior Auth Denial Reason,Prior Auth Additional Info,Prior Auth Portal,Prior Auth Voice/Manual,Denial Data Available,ERA 835,CARC,RARC,277CA,Claim-Level Denial,Service-Level Denial,Denial API,Denial Portal,Appeal API,Electronic Appeal,Portal Appeal,Document Upload,Fax,Mail,Human Process,Appeal Status API,Appeal Tracking,Public API,Free API,Free Sandbox,Production API,Production Pricing,Usage Fee,Setup Fee,Enrollment Required,Provider Credential Required,Clearinghouse Required,API Authentication,OAuth,SMART on FHIR,API Documentation,FHIR Available,FHIR Version,Patient Access API,Provider Access API,Payer-to-Payer API,Prior Authorization API,Provider Directory API,FHIR Documentation,FHIR Sandbox,Portal Required,Voice Required,Human Fallback,Recommended Channel,Digital Coverage Score,Automation Readiness Score,Source URL 1,Source URL 2,Source URL 3,Source Type,Source Date,Last Verified Date,Confidence,Research Notes
UnitedHealthcare,UnitedHealth Group,NAT,Commercial; MA; Medicaid; Exchange,National,87726,Varies by clearinghouse,https://www.uhc.com,https://www.uhc.com/legal/interoperability-apis,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4,YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://www.uhc.com/legal/interoperability-apis,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.uhc.com/legal/interoperability-apis,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Optum (UHG),UnitedHealth Group,NAT,Services; PBM; care,National,Varies,Varies by clearinghouse,https://www.optum.com,https://developer.optum.com/,YES,YES,276/277,YES (clearinghouse),YES,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,UNKNOWN,PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,NO (direct Optum API),OAuth2 / API key,YES,UNKNOWN,YES,UNKNOWN,R4 (Claim FHIR API),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://developer.optum.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → Portal → Voice → Human,90,91 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://developer.optum.com/,https://www.stedi.com/docs/healthcare,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,Direct provider-facing RCM API (Optum=UHG clearinghouse).
Aetna,CVS Health,NAT,Commercial; MA; Medicaid; Exchange,National,60054,Varies by clearinghouse,https://www.aetna.com,https://developerportal.aetna.com/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4,YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://developerportal.aetna.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://developerportal.aetna.com/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Cigna Healthcare,The Cigna Group,NAT,Commercial; MA; Exchange,National,62308,Varies by clearinghouse,https://www.cigna.com,https://developer.cigna.com/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4,YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://developer.cigna.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://developer.cigna.com/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Evernorth,The Cigna Group,NAT,PBM; behavioral; services,National,Varies,Varies by clearinghouse,https://www.evernorth.com,UNKNOWN,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,UNKNOWN,PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,UNKNOWN,Via clearinghouse,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → Portal → Voice → Human,78,83 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.stedi.com/docs/healthcare,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,Commercial/self-funded: RCM transactions via clearinghouse; not subject to CMS-0057-F provider APIs.
Humana,Humana Inc.,NAT,MA; Commercial; Medicaid; TRICARE,National,61101,Varies by clearinghouse,https://www.humana.com,https://developers.humana.com/apis,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4/US Core,YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://developers.humana.com/apis,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://developers.humana.com/apis,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Elevance Health (Anthem),Elevance Health,NAT,Commercial; MA; Medicaid; Exchange; BCBS,14 states (BCBS) + national,Varies,Varies by clearinghouse,https://www.elevancehealth.com,https://www.anthem.com/developers,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4 (CARIN BB STU1),YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://www.anthem.com/developers,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.anthem.com/developers,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Centene,Centene Corporation,NAT,Medicaid; Exchange; MA,National,Varies,Varies by clearinghouse,https://www.centene.com,https://partners.centene.com/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4 (implied),YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://partners.centene.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://partners.centene.com/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Molina Healthcare,Molina Healthcare Inc.,NAT,Medicaid; MA; Exchange,Multi-state,Varies,Varies by clearinghouse,https://www.molinahealthcare.com,https://developer.interop.molinahealthcare.com/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4 (implied),YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://developer.interop.molinahealthcare.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://developer.interop.molinahealthcare.com/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Kaiser Permanente,Kaiser Foundation Health Plan,NAT,Integrated HMO; MA; Medicaid; Exchange,8 states + DC,Varies,Varies by clearinghouse,https://healthy.kaiserpermanente.org,https://healthy.kaiserpermanente.org/northern-california/pages/technical-information,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4,YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://healthy.kaiserpermanente.org/northern-california/pages/technical-information,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://healthy.kaiserpermanente.org/northern-california/pages/technical-information,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
