Provider,Payer,API Name,Workflow,Standard,FHIR,REST,X12,Direct,Intermediary,Public,Sandbox,Free Sandbox,Production,Free Production,Paid Production,Pricing,Provider Enrollment,Payer Enrollment,Authentication,OAuth,SMART,Real-Time,Batch,Source,Last Verified,Confidence
Stedi,"Multi (3,500+)",Eligibility API,Eligibility,270/271,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES (100/mo),YES,Pay-as-you-go from $100; exact ¢/txn behind calculator (verify),PARTIAL,NO,API key,NO,NO,YES,YES,https://www.stedi.com/docs/healthcare,"August 18, 2026",High
Stedi,"Multi (3,500+)",Claim Status API,Claim Status,276/277,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES (100/mo),YES,Pay-as-you-go,PARTIAL,NO,API key,NO,NO,YES,YES,https://www.stedi.com/docs/healthcare,"August 18, 2026",High
Stedi,"Multi (3,500+)",Claims API (837),Claims,837P/I/D,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES (100/mo),YES,Pay-as-you-go,YES,NO,API key,NO,NO,YES,YES,https://www.stedi.com/docs/healthcare,"August 18, 2026",High
Stedi,"Multi (3,500+)",Remittance (835) API,Denials,835,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES (100/mo),YES,Pay-as-you-go,YES (835 enroll),NO,API key,NO,NO,YES,YES,https://www.stedi.com/docs/healthcare,"August 18, 2026",High
Availity,Blues-heavy,Eligibility & Benefits API,Eligibility/Benefits,270/271,YES,YES,YES,NO,YES,YES,YES (mock),YES,YES,NO,YES,Not publicly disclosed (contract),YES,YES,OAuth2,YES,NO,YES,YES,https://www.availity.com/api-marketplace/,"August 18, 2026",High
Availity,Blues-heavy,Claim Status API,Claim Status,276/277,NO,YES,YES,NO,YES,YES,YES (mock),YES,YES,NO,YES,Not publicly disclosed,YES,YES,OAuth2,YES,NO,YES,YES,https://www.availity.com/api-marketplace/,"August 18, 2026",High
Availity,Blues-heavy,Authorization/Referral (278) + FHIR PA,Prior Auth,278 / FHIR PAS,YES,YES,YES,NO,YES,YES,YES (mock),YES,YES,NO,YES,Not publicly disclosed,YES,YES,OAuth2,YES,PARTIAL,YES,NO,https://www.availity.com/api-marketplace/,"August 18, 2026",High
Optum (Change),Most U.S. payers,Eligibility API,Eligibility,270/271,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,Not publicly disclosed (contract),YES,YES,OAuth2,YES,NO,YES,YES,https://developer.optum.com/,"August 18, 2026",High
Optum (Change),Most U.S. payers,Claim Status API,Claim Status,276/277,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,Not publicly disclosed,YES,YES,OAuth2,YES,NO,YES,YES,https://developer.optum.com/,"August 18, 2026",High
Optum (Change),Most U.S. payers,Claims + ERA + Attachments (275),Claims/Denials,837/835/275,PARTIAL,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,Not publicly disclosed,YES,YES,OAuth2,YES,NO,YES,YES,https://developer.optum.com/,"August 18, 2026",High
